District,Division,PSAI,PSAI (normalized),Rank
Dhaka,Dhaka,5.598258,1.0,1
Chattogram,Chattogram,3.626408,0.616935,2
Bagerhat,Khulna,3.12496,0.519521,3
Gazipur,Dhaka,2.973907,0.490176,4
Khulna,Khulna,2.799096,0.456216,5
Narayanganj,Dhaka,2.784571,0.453395,6
Tangail,Dhaka,2.719276,0.44071,7
Natore,Rajshahi,2.550246,0.407873,8
Rajshahi,Rajshahi,2.512845,0.400607,9
Manikganj,Dhaka,2.417412,0.382068,10
Munshiganj,Dhaka,2.371748,0.373197,11
Sherpur,Mymensingh,2.354781,0.369901,12
Rajbari,Dhaka,2.333813,0.365827,13
Sylhet,Sylhet,2.268733,0.353184,14
Bhola,Barishal,2.25798,0.351095,15
Barguna,Barishal,2.232218,0.346091,16
Dinajpur,Rangpur,2.189928,0.337875,17
Cumilla,Chattogram,2.162363,0.33252,18
Jashore,Khulna,2.152219,0.33055,19
Feni,Chattogram,2.140897,0.32835,20
Netrakona,Mymensingh,2.130941,0.326416,21
Narail,Khulna,2.105596,0.321492,22
Mymensingh,Mymensingh,2.040602,0.308866,23
Faridpur,Dhaka,2.022975,0.305442,24
Narsingdi,Dhaka,2.009368,0.302798,25
Pabna,Rajshahi,1.983015,0.297679,26
Gopalganj,Dhaka,1.959735,0.293156,27
Naogaon,Rajshahi,1.951417,0.291541,28
Joypurhat,Rajshahi,1.941338,0.289582,29
Kurigram,Rangpur,1.939423,0.289211,30
Shariatpur,Dhaka,1.934657,0.288285,31
Jamalpur,Mymensingh,1.915132,0.284492,32
Chuadanga,Khulna,1.906283,0.282773,33
Brahmanbaria,Chattogram,1.901302,0.281805,34
Madaripur,Dhaka,1.873921,0.276486,35
Kushtia,Khulna,1.847401,0.271334,36
Satkhira,Khulna,1.823625,0.266715,37
Nilphamari,Rangpur,1.760388,0.25443,38
Patuakhali,Barishal,1.738002,0.250081,39
Panchagarh,Rangpur,1.716379,0.24588,40
Bogura,Rajshahi,1.678678,0.238557,41
Rangpur,Rangpur,1.666518,0.236194,42
Jhenaidah,Khulna,1.647435,0.232487,43
Chandpur,Chattogram,1.638546,0.23076,44
Meherpur,Khulna,1.638225,0.230698,45
Cox's Bazar,Chattogram,1.609648,0.225146,46
Sunamganj,Sylhet,1.607677,0.224763,47
Moulvibazar,Sylhet,1.600819,0.223431,48
Pirojpur,Barishal,1.585038,0.220365,49
Lalmonirhat,Rangpur,1.583676,0.220101,50
Barishal,Barishal,1.575993,0.218608,51
Kishoreganj,Dhaka,1.555198,0.214568,52
Chapainababganj,Rajshahi,1.543826,0.212359,53
Gaibandha,Rangpur,1.517274,0.207201,54
Thakurgaon,Rangpur,1.49831,0.203517,55
Magura,Khulna,1.49121,0.202138,56
Sirajganj,Rajshahi,1.458302,0.195745,57
Noakhali,Chattogram,1.40792,0.185957,58
Habiganj,Sylhet,1.366077,0.177829,59
Lakshmipur,Chattogram,1.293456,0.163721,60
Jhalokati,Barishal,1.163069,0.138391,61
Bandarban,Chattogram,1.088912,0.123985,62
Khagrachhari,Chattogram,0.683924,0.045309,63
Rangamati,Chattogram,0.450693,0.0,64
